Date,Open,High,Low,Close,Adj Close,Volume
11/19/2018,690,690,670,675,656.274597,25582600
11/20/2018,675,675,675,675,656.274597,0
11/21/2018,670,675,640,645,627.106812,72891500
11/22/2018,645,655,625,625,607.661682,65660900
11/23/2018,630,635,620,625,607.661682,46061900
11/26/2018,625,630,600,605,588.216492,60427400
11/27/2018,605,615,595,595,578.493896,48074000
11/28/2018,600,610,595,600,583.355286,38118700
11/29/2018,610,625,605,625,607.661682,51894500
11/30/2018,625,635,615,615,597.939148,44427900
12/3/2018,640,735,640,735,714.610107,319380300
12/4/2018,735,735,705,710,690.303711,114477100
12/5/2018,690,745,690,740,719.471497,181244900
12/6/2018,735,750,725,735,714.610107,87724500
12/7/2018,740,740,720,725,704.887573,43586800
12/10/2018,715,725,710,720,700.026306,39041000
12/11/2018,720,770,710,755,734.055359,138590700
12/12/2018,765,770,745,755,734.055359,49860000
12/13/2018,760,780,755,765,743.777954,82314700
12/14/2018,760,765,750,755,734.055359,35617200
12/17/2018,760,765,730,730,709.74884,44969700
12/18/2018,730,765,715,750,729.194031,82577000
12/19/2018,755,765,740,760,738.916626,47553700
12/20/2018,755,780,755,765,743.777954,85694000
12/21/2018,765,795,760,770,748.639221,135346100
12/24/2018,770,770,770,770,748.639221,0
12/25/2018,770,770,770,770,748.639221,0
12/26/2018,760,790,760,770,748.639221,71071800
12/27/2018,785,785,765,770,748.639221,37337500
12/28/2018,775,775,760,765,743.777954,38070900
12/31/2018,765,765,765,765,743.777954,0
1/1/2019,765,765,765,765,743.777954,0
1/2/2019,770,775,735,740,719.471497,53128900
1/3/2019,750,755,740,750,729.194031,34641100
1/4/2019,750,765,745,760,738.916626,59878500
1/7/2019,775,785,765,770,748.639221,65853100
1/8/2019,775,780,755,760,738.916626,82485900
1/9/2019,770,790,765,780,758.361816,105654500
1/10/2019,780,805,775,790,768.084412,150289500
1/11/2019,795,800,780,790,768.084412,56407400
1/14/2019,795,795,775,780,758.361816,41648200
1/15/2019,780,830,780,820,797.252136,165281200
1/16/2019,830,885,825,870,845.865051,245187100
1/17/2019,870,885,840,845,821.558655,92137700
1/18/2019,850,870,840,850,826.419922,73986800
1/21/2019,855,870,850,855,831.281189,72190100
1/22/2019,855,860,820,830,806.974731,77107300
1/23/2019,830,885,825,860,836.142517,141396200
1/24/2019,865,905,855,895,870.17157,196537400
1/25/2019,895,945,895,930,904.200623,261090200
1/28/2019,945,950,910,910,884.755432,132450700
1/29/2019,910,930,900,920,894.478027,96595800
1/30/2019,935,960,935,950,923.645752,180203800
1/31/2019,965,980,955,965,938.229675,133938100
2/1/2019,975,975,955,960,933.368408,59971800
2/4/2019,970,1040,970,1010,981.981262,303518900
2/5/2019,1010,1010,1010,1010,981.981262,0
2/6/2019,1025,1100,1005,1095,1064.623169,285524200
2/7/2019,1080,1150,1050,1060,1030.59436,369835900
2/8/2019,1050,1080,1025,1025,996.565186,179593300
2/11/2019,1025,1025,975,980,952.813538,222915600
2/12/2019,980,995,935,960,933.368408,182840300
2/13/2019,975,1040,950,1010,981.981262,277124100
2/14/2019,1020,1030,985,1000,972.258728,139034400
2/15/2019,990,995,950,950,923.645752,142476600
2/18/2019,975,1020,970,995,967.397461,173591600
2/19/2019,1000,1055,995,1025,996.565186,255674400
2/20/2019,1040,1090,1040,1060,1030.59436,261788400
2/21/2019,1080,1085,1030,1035,1006.28772,158909700
2/22/2019,1035,1060,1010,1055,1025.73291,129281800
